museum,city,country,visitors,year
Smithsonian Institution,"Washington, D.C.",United States,30000000,2012
Pantheon,Rome,Italy,30000000,2014
Grand Palace,Phra Borom Maha Ratchawang,Thailand,22064968,2023
Forbidden City,Dongcheng District,People's Republic of China,19300000,2019
National Monument of Indonesia,Central Jakarta,Indonesia,12112946,2019
Louvre Museum,Saint-Germain-l'Auxerrois,France,10200000,2018
National Museum of China,Donghuamen Subdistrict,People's Republic of China,8610092,2018
Museum of the History of France,Versailles,France,8177695,2019
Palace of Versailles,Versailles,France,8132518,2018
Colosseum,Roma Capitale,Italy,7400000,2018
Metropolitan Museum of Art,Manhattan,United States,6953927,2018
National Air and Space Museum,"Washington, D.C.",United States,6900000,2015
National Museum of Natural History,"Washington, D.C.",United States,6900000,2015
Vatican Museums,Vatican City,Vatican City,6882931,2019
British Museum,London Borough of Camden,United Kingdom,6820686,2015
National Gallery,City of Westminster,United Kingdom,6416724,2014
National Palace Museum,Shilin District,Taiwan,6142892,2016
Tate Modern,London Borough of Southwark,United Kingdom,6098340,2019
Natural History Museum,Royal Borough of Kensington and Chelsea,United Kingdom,5423932,2019
Centre Georges Pompidou,Quartier Saint-Merri,France,5367514,2012
New Mexico Museum of Space History,Alamogordo,United States,5034369,N/A
Shanghai Urban Planning Exhibition Center,Shanghai,People's Republic of China,5000000,N/A
American Museum of Natural History,Manhattan,United States,5000000,N/A
Hermitage Museum,Saint Petersburg,Russia,4956529,2019
Roman Forum and the Palatine,Rome,Italy,4911702,2019
Museo Nacional Centro de Arte Reina Sofía,Madrid,Spain,4425699,2019
National Gallery of Art,"Washington, D.C.",United States,4404212,2018
San Francisco Maritime National Historical Park,San Francisco,United States,4173014,N/A
National Museum of American History,"Washington, D.C.",United States,4100000,2015
archaeological excavations of Pompeii,Pompei,Italy,4069377,2024
Victoria and Albert Museum,Royal Borough of Kensington and Chelsea,United Kingdom,3967566,2018
Antiquarium in Pompeii,Pompei,Italy,3815839,2019
Independence National Historical Park,Philadelphia,United States,3751007,2010
Museo del Prado,Madrid,Spain,3672853,2018
Musée d'Orsay,7th arrondissement of Paris,France,3651616,2019
Capodimonte park,Naples,Italy,3583023,2018
"National Museum of Modern and Contemporary Art, South Korea",Unknown,South Korea,3536677,2014
National Museum of Korea,Yongsan District,South Korea,3476606,2017
National Gallery of Victoria,City of Melbourne,Australia,3200134,2018
Smithsonian American Art Museum,"Washington, D.C.",United States,3150000,2018
National Museum of Natural Science,North District,Taiwan,3142565,2015
Moscow Kremlin Museums,Moscow,Russia,3101550,2019
Altare della Patria,Rome,Italy,3094116,2019
Museum of Modern Art,Manhattan,United States,3084624,2015
Science Museum,South Kensington,United Kingdom,2989000,2012
Tokyo Metropolitan Art Museum,Ueno-kōen,Japan,2873806,2019
Tretyakov Gallery,Russia,Russia,2836000,2019
National Folk Museum of Korea,Jongno District,South Korea,2762143,2015
Tower of London,London Borough of Tower Hamlets,United Kingdom,2741126,2016
"National Art Center, Tokyo",Roppongi,Japan,2717565,2018
Rijksmuseum,Amsterdam,Netherlands,2700000,2019
Tokyo National Museum,Ueno-kōen,Japan,2684754,2019
Museo Centrale del Risorgimento,Rome,Italy,2682925,2022
CosmoCaixa Barcelona,Sant Gervasi-la Bonanova,Spain,2608985,2008
National Science and Technology Museum,Kaohsiung,Taiwan,2583732,2015
Museu de les Ciències Príncipe Felipe,Valencia,Spain,2500000,2010
Museo dell'Opera Metropolitana del Duomo,Siena,Italy,2397030,2019
National Maritime Museum,Royal Borough of Greenwich,United Kingdom,2367904,N/A
Gallerie degli Uffizi,Florence,Italy,2361732,2019
Uffizi Gallery,Florence,Italy,2361732,2019
Autostadt,Wolfsburg,Germany,2300000,2012
Russian Museum,Saint Petersburg,Russia,2260231,2021
Treasury of San Marco,Venice,Italy,2250772,2018
"Multimedia Art Museum, Moscow",Moscow,Russia,2242405,2021
Cité des Sciences et de l'Industrie,Pont-de-Flandre,France,2196200,2016
Van Gogh Museum,Amsterdam,Netherlands,2161160,2018
National Portrait Gallery,City of Westminster,United Kingdom,2145486,2015
Shanghai Museum,Huangpu District,People's Republic of China,2111730,2018
J. Paul Getty Museum,Los Angeles,United States,2039226,2015
